"ID";"IDENT";"ETACQ1";"NBPERS";"STRATE";"POSSES3";"POSSES10";"NBIENS10";"INTERN";"NIVIE";"LOG";"RETOT";"NBIENS10_CL";"ACTIMP1";"ACTPRO";"MOYTRANS1";"TPSTELE";"TPSRAD";"CHAINEP";"NBVIDEO";"EMRAD1";"EMRAD2";"EMRAD3";"EMRAD4";"QUOTNAT";"QUOTREG";"MAGCUL";"MAGSCI";"MAGSP";"BD";"TYPLIV1";"TYPLIV2";"TYPLIV3";"TYPLIV5";"TYPLIV6";"TYPLIV7";"TYPLIV8";"TYPLIV9";"TYPLIV10";"LIVRES";"INSBIBLI";"NBLIVR";"TYPMUSIP";"NBDISQ";"SC1";"SC2";"SC4";"SC6";"SC8";"FEST";"COMPET";"COURSP1";"PAM1";"PAM2";"PAM8";"ASSCULT";"SPUTIL";"CIGARE";"SPORT";"SPORTIF";"AGE";"AGE1";"MATRI";"NATEMPL";"NIVETUD2";"OCCUPA";"PCS8";"SEXE";"STATUT";"VIECOU";"TPSTELE_CL";"TPSRAD_CL";"BD_CL";"LIVRES_CL";"SPORTIF_CL"
"1122001380-02";1122001380;"Frigo_neuf";"Men_2pers";"UU_Paris";"LaveVaisselle_Oui";"Voiture_Oui";2;"Internet_Oui";"NiveauVie_4eQ";"Locataire";"Plus_de_68000€";"Voiture_Deux";"Loisir_Bricolage, jardin, mécanique";"ActivitéPro_Non";"Transport_NC";17;0;"Câble / satellite";"Video_50ouPlus";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Pas_Musique";"Radio_Pas_Sport";"QuotNat_Régulièrement";"QUOTReg_Régulièrement";"MAGCUL_Non";"MAGSCI_Non";"MAGSP_Non";1;"Livre_Policier_Oui";"Livre_Sentiments_Non";"Livre_Classique_Oui";"Livre_Histoire_Oui";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Oui";"Livre_ArtPhoto_Non";"Livre_Sport_Non";36;"NonInscrit_Biblio";"LivresPossédés_200ouPlus";"Music_AucuneSpe";"CDPossédés_100à199";"Cinema_Oui";"Théâtre_Non";"SpeDanse_Non";"SpeComique_Non";"Concert_Non";"Festival_Non";"Pas de compétition officielle";"";"Ecriture_Non";"Dessin_Non";"Photo_Non";"Assos_Aucune";"MarcheVelo_Parfois";"Non ou très rarement";"Sport_PlusieursFoisParSem";1;59;"50-64ans";"Mariés";"EmploiTpsPlein";"Etudes_ProTechnique";"Chômeur";"Cadres_Professions_Intell";"Femme";"Salarié_Privé";"Vit_En_Couple";"TpsTV_10à19H/Sem";"TpsRad_Jamais";"BD_Oui";"LivresLus_20ouPlus";"SportsDiff_Un"
"1122001740-02";1122001740;"Frigo_neuf";"Men_2pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Oui";2;"Internet_Oui";"NiveauVie_4eQ";"Locataire";"Plus_de_68000€";"Voiture_Deux";"Loisir_Aucune";"ActivitéPro_Oui";"Transport_VoitureMoteur";14;0;"France 2";"Video_50ouPlus";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Rarement";"QUOTReg_Rarement";"MAGCUL_Non";"MAGSCI_Non";"MAGSP_Non";4;"Livre_Policier_Non";"Livre_Sentiments_Non";"Livre_Classique_Oui";"Livre_Histoire_Non";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Oui";"Livre_ArtPhoto_Non";"Livre_Sport_Non";10;"NonInscrit_Biblio";"LivresPossédés_100à199";"Music_Rock";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Non";"SpeComique_Non";"Concert_Oui";"Festival_Non";"Pas de compétition officielle";"Gymnastique, yoga";"Ecriture_Non";"Dessin_Non";"Photo_Non";"Assos_Aucune";"MarcheVelo_Parfois";"Oui, 1 à 5 cigarettes/jour";"Sport_UneFoisParSem";8;31;"30-39ans";"Célibataires";"EmploiTpsPlein";"Etudes_Supérieur";"Actif_occupé";"Cadres_Professions_Intell";"Femme";"Salarié_Privé";"Vit_En_Couple";"TpsTV_10à19H/Sem";"TpsRad_Jamais";"BD_Oui";"LivresLus_10à19";"SportsDiff_5ouPlus"
"1122002570-01";1122002570;"Frigo_neuf";"Men_2pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Non";;"Internet_PasDEquipement";"NiveauVie_1erQ";"Logé_Gratuitement";"Moins_de_7000€";"Voiture_Aucune";"Loisir_Autre";"ActivitéPro_Oui";"Transport_Collectif";;14;"Chaîne_Aucune en particulier";"Video_aucune";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Parfois";"QUOTReg_Jamais";"MAGCUL_Non";"MAGSCI_Non";"MAGSP_Non";20;"Livre_Policier_Oui";"Livre_Sentiments_Oui";"Livre_Classique_Oui";"Livre_Histoire_Non";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Oui";"Livre_ArtPhoto_Oui";"Livre_Sport_Non";50;"Inscrit_Biblio";"LivresPossédés_MoinsDe30";"Music_AucuneSpe";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Non";"SpeComique_Non";"Concert_Oui";"Festival_Non";"Pas de compétition officielle";"";"Ecriture_Non";"Dessin_Non";"Photo_Non";"Assos_Aucune";"MarcheVelo_Souvent";"Oui, 1 à 5 cigarettes/jour";"Sport_UneFoisParSem";7;24;"14-24ans";"Mariés";"CDD";"Etudes_NC";"Actif_occupé";"Professions_Intermédiaires";"Femme";"Salarié_Privé";"Vit_En_Couple";"TpsTV_Jamais";"TpsRad_9à19H/Sem";"BD_Oui";"LivresLus_20ouPlus";"SportsDiff_5ouPlus"
"1122004280-01";1122004280;"Frigo_neuf";"Men_2pers";"UU_Paris";"LaveVaisselle_Oui";"Voiture_Oui";1;"Internet_Oui";"NiveauVie_4eQ";"Propriétaires";"27000_à_68000€";"Voiture_Une";"Loisir_Bricolage, jardin, mécanique";"ActivitéPro_Non";"Transport_NC";19;28;"Câble / satellite";"Video_50ouPlus";"Radio_Pas_Infos";"Radio_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Régulièrement";"QUOTReg_Régulièrement";"MAGCUL_Oui";"MAGSCI_Non";"MAGSP_Non";12;"Livre_Policier_Non";"Livre_Sentiments_Non";"Livre_Classique_Oui";"Livre_Histoire_Oui";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Oui";"Livre_ArtPhoto_Oui";"Livre_Sport_Non";50;"NonInscrit_Biblio";"LivresPossédés_200ouPlus";"Music_Classique";"CDPossédés_200ouPlus";"Cinema_Non";"Théâtre_Oui";"SpeDanse_Oui";"SpeComique_Non";"Concert_Oui";"Festival_Oui";"Pas de compétition officielle";"";"Ecriture_Non";"Dessin_Non";"Photo_Non";"Assos_Une";"MarcheVelo_Souvent";"Non ou très rarement";"Sport_Jamais";3;61;"50-64ans";"Mariés";"EmploiTpsPartiel";"Etudes_Supérieur";"Retraité";"Retraités";"Homme";"Salarié_Etat";"Vit_En_Couple";"TpsTV_10à19H/Sem";"TpsRad_20Houplus/Sem";"BD_Oui";"LivresLus_20ouPlus";"SportsDiff_2à4"
"1122005580-01";1122005580;"Frigo_neuf";"Men_1pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Non";;"Internet_Oui";"NiveauVie_4eQ";"Locataire";"15000_à_27000€";"Voiture_Aucune";"Loisir_Autre";"ActivitéPro_Oui";"Transport_NC";23;14;"Chaîne_Aucune en particulier";"Video_50ouPlus";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Régulièrement";"QUOTReg_Jamais";"MAGCUL_Oui";"MAGSCI_Oui";"MAGSP_Non";12;"Livre_Policier_Non";"Livre_Sentiments_Non";"Livre_Classique_Oui";"Livre_Histoire_Non";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Non";"Livre_ArtPhoto_Oui";"Livre_Sport_Non";10;"NonInscrit_Biblio";"LivresPossédés_100à199";"Music_Autre";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Non";"SpeComique_Non";"Concert_Non";"Festival_Non";"Pas de compétition officielle";"";"Ecriture_Non";"Dessin_Non";"Photo_Oui";"Assos_Aucune";"MarcheVelo_Souvent";"Non ou très rarement";"Sport_MoinsDUneFoisParSem";1;31;"30-39ans";"Célibataires";"CDD";"Etudes_Supérieur";"Chômeur";"Professions_Intermédiaires";"Homme";"Salarié_Privé";"Ne_Vit_Pas_En_Couple";"TpsTV_20à29H/Sem";"TpsRad_9à19H/Sem";"BD_Oui";"LivresLus_10à19";"SportsDiff_Un"
"1122008600-01";1122008600;"Frigo_occasion";"Men_1pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Non";;"Internet_Non";"NiveauVie_4eQ";"Locataire";"15000_à_27000€";"Voiture_Aucune";"Loisir_Collection, généalogie, histoire";"ActivitéPro_Oui";"Transport_Collectif";;21;"France 5 / Arte";"Video_1à19";"Radio_Infos";"Radio_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Régulièrement";"QUOTReg_Jamais";"MAGCUL_Oui";"MAGSCI_Non";"MAGSP_Non";0;"Livre_Policier_Oui";"Livre_Sentiments_Oui";"Livre_Classique_Oui";"Livre_Histoire_Oui";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Non";"Livre_ArtPhoto_Oui";"Livre_Sport_Non";120;"NonInscrit_Biblio";"LivresPossédés_200ouPlus";"Music_Classique";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Oui";"SpeComique_Non";"Concert_Oui";"Festival_Non";"Pas de compétition officielle";"";"Ecriture_Oui";"Dessin_Non";"Photo_Non";"Assos_Aucune";"MarcheVelo_Souvent";"Non ou très rarement";"Sport_Jamais";3;25;"25-29ans";"Célibataires";"Stage";"Etudes_Supérieur";"Actif_occupé";"Cadres_Professions_Intell";"Homme";"Salarié_Etat";"Ne_Vit_Pas_En_Couple";"TpsTV_Jamais";"TpsRad_20Houplus/Sem";"BD_Non";"LivresLus_20ouPlus";"SportsDiff_2à4"
"1122009320-01";1122009320;"Frigo_occasion";"Men_1pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Non";;"Internet_Oui";"NiveauVie_1erQ";"Locataire";"Moins_de_7000€";"Voiture_Aucune";"Loisir_Bricolage, jardin, mécanique";"ActivitéPro_Non";"Transport_Collectif";6;2;"France 2";"Video_1à19";"Radio_Pas_Infos";"Radio_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Régulièrement";"QUOTReg_Parfois";"MAGCUL_Oui";"MAGSCI_Oui";"MAGSP_Non";10;"Livre_Policier_Oui";"Livre_Sentiments_Oui";"Livre_Classique_Oui";"Livre_Histoire_Oui";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Oui";"Livre_Pratique_Oui";"Livre_ArtPhoto_Oui";"Livre_Sport_Non";36;"Inscrit_Biblio";"LivresPossédés_30à99";"Music_MondeRegionale";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Oui";"SpeComique_Non";"Concert_Oui";"Festival_Oui";"Pas de compétition officielle";"";"Ecriture_Oui";"Dessin_Oui";"Photo_Oui";"Assos_Aucune";"MarcheVelo_Souvent";"Oui, 11 à 20 cigarettes/jour";"Sport_MoinsDUneFoisParSem";8;21;"14-24ans";"Célibataires";"Emploi_NC";"Etudes_NC";"Formation";"Autres_inactifs";"Femme";"Statut_NC";"Ne_Vit_Pas_En_Couple";"TpsTV_MoinsDe10H/Sem";"TpsRad_MoinsDe5H/Sem";"BD_Oui";"LivresLus_20ouPlus";"SportsDiff_5ouPlus"
"1122009500-01";1122009500;"Frigo_neuf";"Men_4pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Oui";1;"Internet_PasDEquipement";"NiveauVie_1erQ";"Logé_Gratuitement";"15000_à_27000€";"Voiture_Une";"Loisir_Jeux de cartes, société";"ActivitéPro_Oui";"Transport_Pied";16;0;"Chaîne_Aucune en particulier";"Video_aucune";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Pas_Musique";"Radio_Pas_Sport";"QuotNat_Jamais";"QUOTReg_Jamais";"MAGCUL_Non";"MAGSCI_Non";"MAGSP_Non";0;"Livre_Policier_Non";"Livre_Sentiments_Non";"Livre_Classique_Non";"Livre_Histoire_Non";"Livre_PolitiqueSHS_Non";"Livre_SciencesTech_Non";"Livre_Pratique_Non";"Livre_ArtPhoto_Non";"Livre_Sport_Non";0;"NonInscrit_Biblio";"LivresPossédés_30à99";"Music_NC";"CDPossédés_MoinsDe29";"Cinema_Non";"Théâtre_Non";"SpeDanse_Non";"SpeComique_Non";"Concert_Non";"Festival_Non";"";"";"Ecriture_Non";"Dessin_Non";"Photo_Non";"Assos_Aucune";"MarcheVelo_Rarement";"Non ou très rarement";"Sport_Jamais";0;41;"40-49ans";"Mariés";"EmploiTpsPlein";"Etudes_1erCycle";"Actif_occupé";"Ouvriers";"Homme";"Salarié_Collectivité";"Vit_En_Couple";"TpsTV_10à19H/Sem";"TpsRad_Jamais";"BD_Non";"LivresLus_Aucun";"SportsDiff_Aucun"
"1122009870-01";1122009870;"Frigo_occasion";"Men_1pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Non";;"Internet_Non";"NiveauVie_4eQ";"Locataire";"27000_à_68000€";"Voiture_Aucune";"Loisir_Promenade";"ActivitéPro_Oui";"Transport_Collectif";5;5;"France 3";"Video_50ouPlus";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Pas_Musique";"Radio_Pas_Sport";"QuotNat_Régulièrement";"QUOTReg_Régulièrement";"MAGCUL_Oui";"MAGSCI_Non";"MAGSP_Non";5;"Livre_Policier_Oui";"Livre_Sentiments_Non";"Livre_Classique_Oui";"Livre_Histoire_Oui";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Oui";"Livre_ArtPhoto_Non";"Livre_Sport_Non";30;"NonInscrit_Biblio";"LivresPossédés_30à99";"Music_Rock";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Non";"SpeComique_Non";"Concert_Oui";"Festival_Non";"Pas de compétition officielle";"";"Ecriture_Non";"Dessin_Non";"Photo_Non";"Assos_Aucune";"MarcheVelo_Parfois";"Oui, 1 à 5 cigarettes/jour";"Sport_UneFoisParSem";6;29;"25-29ans";"Célibataires";"EmploiTpsPlein";"Etudes_Supérieur";"Actif_occupé";"Cadres_Professions_Intell";"Homme";"Salarié_Privé";"Ne_Vit_Pas_En_Couple";"TpsTV_MoinsDe10H/Sem";"TpsRad_5à9H/Sem";"BD_Oui";"LivresLus_20ouPlus";"SportsDiff_5ouPlus"
"1122010470-01";1122010470;"Frigo_occasion";"Men_1pers";"UU_Paris";"LaveVaisselle_Non";"Voiture_Oui";1;"Internet_PasDEquipement";"NiveauVie_4eQ";"Propriétaires";"15000_à_27000€";"Voiture_Une";"Loisir_Bricolage, jardin, mécanique";"ActivitéPro_Non";"Transport_NC";20;14;"France 2";"Video_1à19";"Radio_Infos";"Radio_Pas_ConcertCult";"Radio_Musique";"Radio_Pas_Sport";"QuotNat_Parfois";"QUOTReg_Rarement";"MAGCUL_Non";"MAGSCI_Non";"MAGSP_Non";0;"Livre_Policier_Non";"Livre_Sentiments_Oui";"Livre_Classique_Non";"Livre_Histoire_Oui";"Livre_PolitiqueSHS_Oui";"Livre_SciencesTech_Non";"Livre_Pratique_Non";"Livre_ArtPhoto_Oui";"Livre_Sport_Non";24;"NonInscrit_Biblio";"LivresPossédés_200ouPlus";"Music_Classique";"CDPossédés_200ouPlus";"Cinema_Oui";"Théâtre_Oui";"SpeDanse_Non";"SpeComique_Non";"Concert_Oui";"Festival_Oui";"";"";"Ecriture_Non";"Dessin_Oui";"Photo_Non";"Assos_Une";"MarcheVelo_Souvent";"Non ou très rarement";"Sport_PlusieursFoisParSem";0;67;"65-69ans";"Célibataires";"EmploiTpsPlein";"Etudes_Supérieur";"Retraité";"Retraités";"Femme";"Salarié_Etat";"Ne_Vit_Pas_En_Couple";"TpsTV_20à29H/Sem";"TpsRad_9à19H/Sem";"BD_Non";"LivresLus_20ouPlus";"SportsDiff_Aucun"
