"id";"age";"sexe";"nivetud";"poids";"occup";"qualif";"freres.soeurs";"clso";"relig";"trav.imp";"trav.satisf";"hard.rock";"lecture.bd";"peche.chasse";"cuisine";"bricol";"cinema";"sport";"heures.tv"
4;34;"Homme";"Enseignement superieur y compris technique superieur";5731,6615081;"Exerce une profession";"Technicien";1;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";2
5;71;"Femme";"Derniere annee d'etudes primaires";4329,0940022;"Retraite";"Employe";0;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
6;35;"Femme";"Enseignement technique ou professionnel court";8674,6993828;"Exerce une profession";"Employe";5;"Non";"Ni croyance ni appartenance";"Le plus important";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";2
9;20;"Femme";;7808,8720636;"Etudiant, eleve";;4;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
10;28;"Homme";"Enseignement technique ou professionnel long";2277,160471;"Exerce une profession";"Autre";2;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";2
12;47;"Homme";"2eme cycle";6697,8682458;"Exerce une profession";"Ouvrier qualifie";4;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";0
16;49;"Femme";"Enseignement technique ou professionnel court";9958,2287255;"Exerce une profession";"Employe";3;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";0
17;62;"Homme";"Enseignement superieur y compris technique superieur";4836,1393119;"Retraite";"Cadre";4;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";1
18;20;"Femme";;1551,4845831;"Etudiant, eleve";;0;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";3
21;30;"Femme";"Enseignement technique ou professionnel court";14647,99834;"Exerce une profession";"Employe";6;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";4
22;30;"Homme";"Enseignement technique ou professionnel court";8128,0602905;"Exerce une profession";"Employe";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";6
24;79;"Femme";"Derniere annee d'etudes primaires";11663,33833;"Autre inactif";;11;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";7
26;74;"Homme";"Enseignement superieur y compris technique superieur";1700,8436595;"Retraite";"Cadre";2;"Oui";"Ni croyance ni appartenance";;;"Non";"Non";"Oui";"Non";"Non";"Non";"Non";3
29;35;"Homme";"Enseignement technique ou professionnel court";8536,1100607;"Exerce une profession";"Ouvrier qualifie";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";4
31;54;"Homme";"Enseignement technique ou professionnel court";5264,2953057;"Exerce une profession";"Employe";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0
32;29;"Homme";"Enseignement technique ou professionnel court";14161,759709;"Exerce une profession";"Autre";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Oui";"Non";"Non";"Oui";"Oui";"Oui";"Non";1
